accenture,accent,future
advertainment,advertising,entertainment
advertecture,advertising,architecture
advertorial,advertising,editorial
aerobatics,aerial,acrobatics
affluenza,affluence,influenza
altadena,alta,pasadena
amerind,american,indigenous
anacronym,anachronism,acronym
anecdata,anecdote,data
animatrix,animated,matrix
animatronics,animation,electronics
animutation,animation,mutation
arcology,architecture,ecology
aricent,arise,ascent
arkadelphia,arkansas,philadelphia
austerical,austerity,hysterical
automagic,automatic,magic
automagical,automatic,magical
automobilia,automobile,memorabilia
avionics,aviation,electronics
backronym,backwards,acronym
bakerloo,baker,waterloo
banjitar,banjo,guitar
bankster,bank,gangster
banoffee,banana,toffee
bayonetwork,bayonet,network
bedaffle,bedazzle,baffle
beefalo,beef,buffalo
beerage,beer,peerage
bennifer,ben,jennifer
beurgeois,beur,bourgeois
billex,bill,alex
bionicle,bionic,chronicle
bit,binary,digit
blaccent,black,accent
blackanese,black,japanese
blackup,black,backup
blasian,black,asian
blaxican,black,mexican
blaxploitation,black,exploitation
bleen,blue,green
blipster,black,hipster
blorph,blend,morph
bodacious,bold,audacious
bollywood,bombay,hollywood
bootylicious,booty,delicious
boxercise,boxing,exercise
boxster,boxer,roadster
brainiac,brain,maniac
brangelina,brad,angelina
brangus,brahmin,angus
brogrammer,bro,programmer
bromance,bro,romance
brony,bro,pony
brostache,bro,mustache
brouter,bridge,router
brunch,breakfast,lunch
bullycide,bullying,suicide
calexico,california,mexico
californication,california,fornication
cama,camel,llama
cameleopard,camel,leopard
caninja,canine,ninja
caplet,capsule,tablet
carboloy,carbon,alloy
carborundum,carbon,corundum
cassingle,cassette,single
celesbian,celebrity,lesbian
chigorette,chigorin,cigarette
chillax,chill,relax
chinglish,chinese,english
chiwaukee,chicago,milwaukee
chokebreaker,chokeslam,backbreaker
chrismukkah,christmas,hanukkah
chuggers,charity,muggers
chunnel,channel,tunnel
cinedigm,cinema, paradigm
clamato,clam,tomato
clink,click,link
clintwood,clinton,eastwood
clopen,closed,open
cocacolonization,cocacola,colonization
comcastic,comcast,fantastic
coopetition,cooperation,competition
cosplay,costume,play
cramerica,cramer,america
craptacular,crap,spectacular
cremains,cremate,remains
crisitunity,crisis,opportunity
crooklyn,crook,brooklyn
crunk,crazy,drunk
cryptex,cryptology,codex
cyberdelic,cybernetics,psychedelic
cyborg,cybernetic,organism
czenglish,czech,english
dancercise,dance,exercise
danimals,dannon,animals
darkane,dark,arcane
darwine,darwin,wine
deliquid,delicious,liquid
digerati,digital,literati
digipeater,digital,repeater
dilemmachine,dilemma,machine
disgussion,disgust,discussion
disturbia,disturb,suburbia
documercial,documentary,commercial
dramastic,dramatic,drastic
dramedy,drama,comedy
ebonics,ebony,phonics
ecoteur,ecological,saboteur
edexcel,educational,excel
edutainment,education,entertainment
electrocution,electricity,execution
employagility,employability,agility
escalator,escalate,elevator
eurabia,europe,arabia
exercycle,exercise,cycle
faction,fact,fiction
famiclone,famicom,clone
fanon,fan,canon
fantabulous,fantastic,fabulous
fedex,federal,ex
feminazi,feminist,nazi
fergelicious,fergie,delicious
fertigate,fertilize,irrigate
flavorite,flavor,favorite
flexicurity,flexibility,security
flong,flip,pong
florala,florida,alabama
fluidram,fluid,dram
fluidrive,fluid,drive
folksonomy,folk,taxonomy
foon,fork,spoon
forgirl,former,girl
fpoon,frosty,spoon
fracket,fraternity,jacket
franglais,francais,anglais
frappuccino,frappe,cappuccino
fratire,fraternity,satire
fraudience,fraud,audience
freakonomics,freak,economics
frenemy,friend,enemy
froogle,frugal,google
frowlculation,frown,calculation
fruitopia,fruit,utopia
frusion,fruit,fusion
fugly,fuck,ugly
galumph,gallop,triumph
garriage,gay,marriage
gaydar,gay,radar
gaysian,gay,asian
geep,goat,sheep
gerrymander,gerry,salamander
ginormous,gigantic,enormous
glenbard,glen,lombard
glenbrook,glenview,northbrook
grasscycle,grass,recycle
groupon,group,coupon
grue,green,blue
guesstimate,guess,estimate
guitard,guitar,retard
guyliner,guy,eyeliner
gypish,gypsy,cheapish
hackintosh,hack,macintosh
hairigami,hair,origami
hasbian,hasbeen,lesbian
hebrish,hebrew,english
herstory,her,history
hinglish,hindi,english
hipsturbia,hipster,suburbia
homocaust,homosexual,holocaust
hotlanta,hot,atlanta
humanure,human,manure
hunglish,hungarian,english
ideanomics,idea,economics
illiana,illinois,indiana
imagineering,imagination,engineering
ineptitude,inept,aptitude
infomercial,information,commercial
infortainment,information,entertainment
insinnuendo,insinuate,innuendo
instrumedley,instrument,medley
intellicentre,intelligent,centre
interrobang,interrogative,bang
intertwingle,intertwine,intermingle
irregardless,irrespective,regardless
japlish,japanese,english
jazzercise,jazz,exercise
jcrewpon,jcrew,coupon
jeggings,jeans,leggings
jeopard,jaguar,leopard
joggling,jogging,juggling
jorts,jeans,shorts
joygasm,joy,orgasm
juneteenth,june,nineteenth
jython,java,python
kentuckiana,kentucky,indiana
keytar,keyboard,guitar
kidult,kid,adult
kollywood,kodambakkam,hollywood
konglish,korean,english
kripkenstein,kripke,wittgenstein
labradoodle,labrador,poodle
liger,lion,tiger
limon,lime,lemon
linner,lunch,dinner
linux,linus,unix
literotica,literature,erotica
lupper,lunch,supper
machinema,machine,cinema
malaysia,malaya,asia
manbag,man,handbag
manglish,malaysian,english
manimal,man,animal
manscaping,man,landscaping
marchitecture,marketing,architecture
masstige,mass,prestige
mathlete,math,athlete
mattergy,matter,energy
meld,melt,weld
melodyssey,melodic,odyssey
meowse,meow,mouse
merkozy,merkel,sarkozy
metrosexual,metropolitan,heterosexual
mexicali,mexico,cali
michiana,michigan,indiana
mimbo,male,bimbo
mimsy,miserable,flimsy
minja,midget,ninja
mizzle,mist,drizzle
mobload,mobile,upload
mobisode,mobile,episode
mocker,mod,rocker
mockney,mock,cockney
mocktail,mock,cocktail
mockumentary,mock,documentary
modem,modulator,demodulator
mog,man,dog
moobs,man,boobs
moped,motor,pedal
mornoon,morning,noon
motel,motor,hotel
mothic,mod,gothic
mozilla,mosaic,godzilla
multiplex,multiple,complex
murderotica,murder,erotica
murse,man,purse
naco,nacho,taco
narcoterrorism,narcotics,terrorism
nastronaut,nasa,astronaut
neither,not,either
netiquette,net,etiquette
netizen,net,citizen
netocracy,net,aristocracy
newrun,new,rerun
nicorette,nicotine,cigarette
ninjelephant,ninja,elephant
nintendogs,nintendo,dogs
nintendonitis,nintendo,tendonitis
nontroversy,non,controversy
nuyorican,newyork,puertorican
odditorium,odd,auditorium
opinuendo,opinion,innuendo
pallywood,palestinian,hollywood
parkade,parking,arcade
pastafarian,pasta,rastafarian
philantrophy,philanthropy,trophy
phoneme,phonetics,scheme
pictionary,picture,dictionary
pinterest,pin,interest
plarn,plastic,yarn
pleather,plastic,leather
plytanium,plywood,titanium
podcast,pod,broadcast
pornograffiti,pornography,graffiti
portanol,portuguese,espanol
posistor,positive,thermistor
prangry,pregnant,angry
prequel,pre,sequel
prevacid,prevent,acid
privoxy,private,proxy
prosumer,producer,consumer
quebexican,quebecois,mexican
radome,radar,dome
reaganomics,reagan,economics
religulous,religion,ridiculous
ringxiety,ring,anxiety
rockumentary,rock,documentary
rogernomics,roger,economics
rubinomics,rubin,economics
ruthanasia,ruth,euthanasia
sacrilicious,sacrilege,delicious
satisfice,satisfactory,suffice
satisfries,satisfies,fries
scanlation,scan,translation
schnoodle,schnauzer,poodle
screenager,screen,teenager
scromlette,scrambled,omelette
seussical,seuss,musical
sexcapade,sex,escapade
sexercise,sex,exercise
sexile,sex,exile
sexpert,sex,expert
sexploitation,sex,exploitation
sexplosion,sex,explosion
sexting,sex,texting
shart,shit,fart
sheeple,sheep,people
shockumentary,shock,documentary
silastic,silicone,plastic
singlish,singaporean,english
skevanston,skokie,evanston
skort,skirt,short
skyjack,sky,hijack
slanguage,slang,language
slurve,slider,curve
smark,smart,mark
smaze,smoke,haze
smelloscope,smell,telescope
smog,smoke,fog
snark,snide,remark
snatiation,sneeze,satiation
sony,sonus,sonny
soundscape,sound,landscape
spamalot,spam,camelot
spamdexing,spam,indexing
spanglish,spanish,english
spectralert,spectral,alert
spife,spoon,knife
sporgery,spam,forgery
spork,spoon,fork
squiggle,squirm,wiggle
squircle,square,circle
stalkerazzi,stalker,paperazzi
starchitect,star,architect
staycation,stay,vacation
streetball,street,basketball
strunk,stoned,drunk
swahinglish,swahili,english
swapportunity,swap,opportunity
swaption,swap,option
swenglish,swedish,english
taglish,tagalog,english
tangelo,tangerine,pomelo
tanglish,tamil,english
tanorexia,tan,anorexia
taxachusetts,tax,massachusetts
tehrangeles,tehran,losangeles
telematics,telecommunications,informatics
televangelist,television,evangelist
thermistor,thermal,resistor
threepeat,three,repeat
tigon,tiger,lion
tofurkey,tofu,turkey
tomacco,tomato,tobacco
toonie,two,loonie
transceiver,transmitter,receiver
transistor,transfer,resistor
transponder,transmitter,responder
travelocity,travel,velocity
treap,tree,heap
triticale,triticum,secale
troopergate,trooper,watergate
twincest,twin,incest
urinalysis,urine,analysis
verizon,veritas,horizon
vermonster,vermont,monster
vietnamasian,vietnamese,asian
vitamer,vitamin,isomer
vitamin,vital,amine
vlog,video,blog
vomitrocious,vomit,atrocious
voxel,volume,pixel
wallaroo,wallaby,kangaroo
waluigi,warui,luigi
wario,warui,mario
webcast,web,broadcast
webinar,web,seminar
webisode,web,episode
wenglish,welsh,english
wexis,westlaw,lexisnexis
wholphin,whale,dolphin
wigger,white,nigger
wikiality,wiki,reality
wikipedia,wiki,encyclopedia
wikiquette,wikipedia,etiquette
wiktionary,wiki,dictionary
wintel,windows,intel
wonkavator,wonka,elevator
woon,wooden,spoon
workaholic,work,alcoholic
yestergay,yesterday,gay
yinglish,yiddish,english
yogalates,yoga,pilates
youthanasia,youth,euthanasia
yugopotamia,yugoslavia,mesopotamia
zeitghost,zeitgeist,ghost
zonkey,zebra,donkey
zony,zebra,pony
zorse,zebra,horse
